institution_long,institution,,,,,
International Monetary Fund,IMF,,,,,
European Stability Mechanism,ESM,,,,,
World Bank,WB,,,,,
European Investment Bank,EIB,,,,,
European Bank for Reconstruction and Development,EBRD,,,,,
Asian Development Bank,AsDB,,,,,
Inter-American Development Bank,IADB,,,,,
African Development Bank,AfDB,,,,,
New Development Bank,NDB,,,,,
Asian Infrastructure Investment Bank,AIIB,,,,,
Fondo Latinoamericano de Reservas,FLAR,,,,,
Development Bank of Latin America,CAF,,,,,
Islamic Development Bank,IsDB,,,,,
European Fund for Sustainable Development,EFSD,,,,,
Arab Monetary Fund,AMF,,,,,
